date,amount,vendor,account_code,approved_by,department
2026-07-03,463.64,Acme Corp,7020,John Doe,Marketing
2026-07-14,2752.22,Vertex Consulting,6050,Sarah Smith,HR
2026-06-14,1850.00,Cloud Services LLC,6050,Alex Wilson,Operations
2026-06-04,4799.45,DataHub Inc,6020,Rachel Green,Finance
2026-06-10,3225.84,TechSupplies Inc,7010,Michael Brown,Sales
2026-06-01,3619.57,DataHub Inc,6050,Rachel Green,Sales
2026-06-25,1692.94,Vertex Consulting,6100,Alex Wilson,Sales
2026-06-24,4026.60,Acme Corp,6010,Michael Brown,Legal
2026-06-08,1984.31,Acme Corp,6050,Michael Brown,Marketing
2026-05-14,3290.08,DataHub Inc,6010,Alex Wilson,Operations
2026-05-29,139.18,OfficeMax,6100,Michael Brown,Finance
2026-05-22,2602.22,OfficeMax,6020,Emma Davis,Operations
2026-06-01,1312.34,TechSupplies Inc,6100,John Doe,Legal
2026-07-15,1367.27,Acme Corp,7020,Sarah Smith,HR
2026-05-22,1853.55,Apex Media,6050,Emma Davis,Finance
2026-05-14,3607.16,Global Logistics,6050,Michael Brown,Sales
2026-05-05,168.77,OfficeMax,6020,Alex Wilson,Sales
2026-07-14,4669.23,Cloud Services LLC,6010,John Doe,Sales
2026-05-15,3314.25,DataHub Inc,7020,Michael Brown,Legal
2026-06-03,2463.60,Cloud Services LLC,7020,John Doe,IT
2026-07-15,2697.67,Precision Tools,6020,John Doe,IT
2026-07-03,1933.92,Prime Stationers,6020,Michael Brown,Marketing
2026-06-17,3704.11,DataHub Inc,7020,Alex Wilson,IT
2026-06-09,3242.76,Vertex Consulting,6100,Rachel Green,Finance
2026-06-25,33.16,DataHub Inc,7010,Rachel Green,HR
2026-05-15,388.05,Global Logistics,6200,John Doe,Legal
2026-05-13,317.46,Vertex Consulting,7020,John Doe,Marketing
2026-05-11,4132.73,TechSupplies Inc,6200,John Doe,HR
2026-05-07,3171.60,DataHub Inc,7020,John Doe,IT
2026-06-22,943.73,TechSupplies Inc,7010,Emma Davis,Finance
2026-05-15,1441.14,Global Logistics,6100,John Doe,HR
2026-07-10,639.16,Apex Media,7010,Emma Davis,HR
2026-07-13,2805.22,OfficeMax,7020,Emma Davis,Legal
2026-06-01,2818.28,Acme Corp,6200,John Doe,Operations
2026-05-26,3464.98,Apex Media,7010,Rachel Green,Finance
2026-07-08,1622.80,Acme Corp,6010,Michael Brown,Marketing
2026-05-21,3846.78,Apex Media,6200,John Doe,Operations
2026-05-13,378.48,OfficeMax,6200,Michael Brown,Marketing
2026-05-20,941.26,OfficeMax,6010,Alex Wilson,HR
2026-06-09,1784.44,Acme Corp,6050,Sarah Smith,HR
2026-05-11,2688.60,Precision Tools,7020,Michael Brown,Sales
2026-06-24,3386.05,DataHub Inc,7010,Rachel Green,Operations
2026-06-03,3919.39,Prime Stationers,6200,John Doe,Operations
2026-06-22,4723.76,Global Logistics,6020,Sarah Smith,Legal
2026-05-08,1129.64,Acme Corp,7020,Michael Brown,IT
2026-06-30,1098.24,Prime Stationers,6050,Michael Brown,Legal
2026-07-02,3962.31,DataHub Inc,7020,Sarah Smith,Marketing
2026-06-26,4365.64,Prime Stationers,6010,Sarah Smith,Marketing
2026-06-08,2976.35,DataHub Inc,6010,Rachel Green,Legal
2026-05-15,1883.57,Precision Tools,6020,Michael Brown,IT
2026-05-08,1130.16,Acme Corp,7020,Michael Brown,Operations
2026-06-17,25000.00,Acme Corp,7010,John Doe,Finance
2026-06-08,2231.11,TechSupplies Inc,6010,Emma Davis,Sales
2026-05-12,1858.15,Vertex Consulting,7020,Michael Brown,Sales
2026-06-03,804.63,Prime Stationers,6200,Rachel Green,Operations
2026-07-09,319.12,Vertex Consulting,6010,John Doe,Sales
2026-05-15,145.68,Cloud Services LLC,6020,Sarah Smith,Marketing
2026-05-22,1985.95,Prime Stationers,6020,Emma Davis,IT
2026-05-25,942.76,Prime Stationers,6020,Emma Davis,Marketing
2026-06-01,3242.95,Vertex Consulting,7020,Alex Wilson,Legal
2026-06-04,344.36,Precision Tools,7010,Michael Brown,Marketing
2026-06-05,1719.28,DataHub Inc,6100,Rachel Green,Legal
2026-06-22,144.59,Vertex Consulting,7020,Emma Davis,Legal
2026-07-01,2451.25,DataHub Inc,6020,John Doe,Sales
2026-06-03,4714.36,Global Logistics,6200,John Doe,Legal
2026-06-10,1176.66,Apex Media,6020,Rachel Green,HR
2026-07-10,1469.50,TechSupplies Inc,6020,Michael Brown,IT
2026-05-25,3424.56,Acme Corp,7010,Sarah Smith,Legal
2026-06-25,3816.29,Precision Tools,7010,Michael Brown,Operations
2026-06-24,4678.05,DataHub Inc,7020,Rachel Green,HR
2026-06-24,1666.71,Global Logistics,6020,Michael Brown,IT
2026-05-04,2733.01,DataHub Inc,6100,Sarah Smith,Operations
2026-06-24,4357.00,Apex Media,6050,Sarah Smith,Marketing
2026-06-08,4086.05,DataHub Inc,6200,Sarah Smith,Marketing
2026-05-08,1187.21,Precision Tools,6010,John Doe,HR
2026-06-24,2008.57,Acme Corp,7010,Rachel Green,HR
2026-06-30,4593.54,Global Logistics,6050,Alex Wilson,Legal
2026-06-16,809.81,Vertex Consulting,6020,Rachel Green,Finance
2026-06-05,2257.18,TechSupplies Inc,6100,Alex Wilson,IT
2026-05-26,1782.37,TechSupplies Inc,7010,Michael Brown,Sales
2026-06-02,3450.75,TechSupplies Inc,6010,Sarah Smith,IT
2026-06-05,3252.82,OfficeMax,6200,Sarah Smith,HR
2026-05-11,4151.91,TechSupplies Inc,6100,Michael Brown,Operations
2026-06-18,2900.16,Prime Stationers,6200,Michael Brown,Sales
2026-05-27,3487.48,OfficeMax,7010,Rachel Green,Legal
2026-06-17,2835.61,Global Logistics,6100,Sarah Smith,IT
2026-06-11,2382.52,TechSupplies Inc,6050,Michael Brown,Marketing
2026-06-16,3450.75,TechSupplies Inc,6010,Michael Brown,IT
2026-06-22,4200.00,Apex Media,6200,,Marketing
2026-06-01,1807.97,Global Logistics,6100,Alex Wilson,HR
